Ticker,Catatan,CIK,Basis,Periode_Lapkeu,Tanggal_Lapor,Form,Pendapatan,Pendapatan_Lalu,LabaKotor,EBIT,EBITDA,Laba,Laba_Lalu,BebanBunga,OCF,OCF_Lalu,Capex,Dividen,Buyback,Penerbitan,Aset,Aset_Awal,AsetLancar,LiabLancar,Ekuitas,Ekuitas_Awal,Kas,Goodwill,Intangible,LabaDitahan,Liabilitas,KasPlus,Utang,Tag_Utang,Saham,Tag_Saham,Tanggal_Saham,Dilusi_YoY,Tag_Pendapatan,Tag_Laba,Tag_OCF,ROA,ROE,Rev_YoY,Laba_YoY,Rev_CAGR3,EPS_CAGR3,Tag_Penyusutan,Tag_EBIT,OCF_Laba,OCF_Laba_Lalu,Akrual,ROA_Variabilitas5T,Goodwill_Ekuitas,GrossMargin,GM_Stabilitas5T,NetDebt_EBITDA,ROIC,F_Score,F_Rincian,Nama_SEC,CIK_Pendahulu,GoingConcern,Restatement
A,,1090872.0,TTM-4Q,2026-07-31,2026-09-01,10-Q,7372000000.0,6788000000.0,3968000000.0,1639000000.0,1910000000.0,1440000000.0,1220000000.0,106000000.0,1609000000.0,1495000000.0,342000000.0,286000000.0,380000000.0,0.0,13967000000.0,12226000000.0,4693000000.0,2289000000.0,7363000000.0,6370000000.0,1758000000.0,5030000000.0,906000000.0,1912000000.0,6604000000.0,1758000000.0,3949000000.0,LongTermDebt+ShortTermBorrowings,281928854.0,dei:EntityCommonStockSharesOutstanding,2026-08-26,-0.7017543859649145,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.10995304088878707,0.20971382800553412,0.0860341779611078,0.180327868852459,,,DepreciationDepletionAndAmortization,OperatingIncomeLoss,1.117361111111111,1.2254098360655739,-0.012904211048753484,0.4659919534705083,0.6831454570148038,0.5382528486163863,1.4018675423558267,1.1471204188481676,0.4161058727246635,6.0,ROA+ OCF+ dROA+ AKRUAL+ LEVERAGE- CR- SAHAM+ MARGIN+ ATO-,"AGILENT TECHNOLOGIES, INC.",,,
AA,,1675149.0,TTM-4Q,2026-06-30,2026-07-30,10-Q,13603000000.0,12777000000.0,,1336000000.0,1993000000.0,1277000000.0,1004000000.0,120000000.0,1051000000.0,1121000000.0,699000000.0,105000000.0,0.0,0.0,16853000000.0,14990000000.0,5885000000.0,3834000000.0,7370000000.0,6135000000.0,1352000000.0,0.0,0.0,508000000.0,9416000000.0,1352000000.0,2225000000.0,LongTermDebtAndCapitalLeaseObligations+LongTermDebtCurrent+ShortTermBorrowings,263909445.0,dei:EntityCommonStockSharesOutstanding,2026-07-27,2.3076923076922995,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.08020601074019408,0.18911514253980008,0.06464741332081081,0.27191235059760954,,,DepreciationDepletionAndAmortization,LabaSebelumPajak+BebanBunga,0.8230227094753328,1.1165338645418326,0.014194642464591904,4.044337664642078,0.0,,,0.43803311590566985,0.14532006308805134,5.0,ROA+ OCF+ dROA+ AKRUAL- LEVERAGE+ CR- SAHAM- MARGIN? ATO+,Alcoa Corp,,,
AAL,,6201.0,TTM-4Q,2026-06-30,2026-07-23,10-Q,58337000000.0,54250000000.0,,1008000000.0,2907000000.0,-326000000.0,567000000.0,1660000000.0,4374000000.0,4094000000.0,4089000000.0,0.0,0.0,0.0,64233000000.0,63667000000.0,14276000000.0,26756000000.0,-3972000000.0,-3870000000.0,1146000000.0,4091000000.0,2069000000.0,-7043000000.0,68205000000.0,7888000000.0,25254000000.0,LongTermDebt+ShortTermBorrowings,661969951.0,dei:EntityCommonStockSharesOutstanding,2027-07-17,0.34011390635813044,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,-0.00509773260359656,,0.07533640552995391,-1.5749559082892417,,,DepreciationAndAmortization,OperatingIncomeLoss,,7.220458553791887,-0.07349491790461297,1.6239718555662301,,,,5.973856209150327,0.037814659163758105,3.0,ROA- OCF+ dROA- AKRUAL+ LEVERAGE- CR- SAHAM- MARGIN- ATO+,American Airlines Group Inc.,,,
AAMI,,1748824.0,TTM-4Q,2026-06-30,2026-08-06,10-Q,668500000.0,538200000.0,,158300000.0,,101400000.0,89600000.0,18600000.0,-34100000.0,63300000.0,,0.0,0.0,0.0,856900000.0,672300000.0,,,,,85800000.0,0.0,0.0,,723700000.0,85800000.0,200000000.0,komponen:jadwal jatuh tempo 2025-12-31,35490128.0,dei:EntityCommonStockSharesOutstanding,2026-08-04,-0.5726410674278037,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.1326183625425059,,0.24210330732069862,0.1316964285714286,,,DepreciationDepletionAndAmortization,OperatingIncomeLoss,,,,26.456199589392806,,,,,,,,Acadian Asset Management Inc.,,,
AAON,,824142.0,TTM-4Q,2026-06-30,2026-08-10,10-Q,1932367000.0,1258591000.0,494087000.0,213498000.0,298526000.0,159288000.0,122094000.0,,86542000.0,33580000.0,,32704000.0,0.0,0.0,1863683000.0,1399413000.0,995020000.0,330271000.0,1010416000.0,832746000.0,13000.0,0.0,86001000.0,910397000.0,853267000.0,13000.0,435000000.0,komponen:LineOfCredit,82453639.0,dei:EntityCommonStockSharesOutstanding,2026-08-06,0.9221563669980837,RevenueFromContractWithCustomerIncludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.09762998085254004,0.1728421050347175,0.5353415049050883,0.3046341343554966,,,DepreciationDepletionAndAmortization,OperatingIncomeLoss,0.543305208176385,0.27503399020426883,0.0445871037811943,4.357142321794436,0.0,0.2556900423159783,3.5557408486440334,1.4571159630986916,0.15574649216475822,3.0,ROA+ OCF+ dROA- AKRUAL- LEVERAGE- CR- SAHAM- MARGIN- ATO+,"AAON, INC.",,,
AAP,,1158449.0,FY,2026-01-03,2026-02-13,10-K,8601000000.0,9094000000.0,3733000000.0,-43000000.0,229000000.0,44000000.0,-336000000.0,,-46000000.0,85000000.0,252000000.0,60000000.0,0.0,0.0,11826000000.0,10798000000.0,7290000000.0,4176000000.0,2198000000.0,2170000000.0,3123000000.0,600000000.0,400000000.0,4146000000.0,9628000000.0,3123000000.0,3412000000.0,LongTermDebt+ShortTermBorrowings,60400000.0,dei:EntityCommonStockSharesOutstanding,2026-08-17,1.1686143572620988,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.0038896746817538895,0.020146520146520148,-0.05421156806685723,,,,DepreciationDepletionAndAmortization,OperatingIncomeLoss,-1.0454545454545454,,0.007956152758132957,2.8146882496063674,0.272975432211101,0.4340193000813859,3.0092817378419445,1.262008733624454,-0.007100010450412792,5.0,ROA+ OCF- dROA+ AKRUAL- LEVERAGE- CR+ SAHAM- MARGIN+ ATO+,"ADVANCE AUTO PARTS, INC.",,,
AAPL,,320193.0,TTM-4Q,2026-06-27,2026-07-31,10-Q,466823000000.0,408625000000.0,227123000000.0,154859000000.0,167959000000.0,128930000000.0,99280000000.0,,146724000000.0,108565000000.0,10041000000.0,15640000000.0,82226000000.0,0.0,383266000000.0,331495000000.0,149818000000.0,149326000000.0,107520000000.0,65830000000.0,39544000000.0,0.0,25417000000.0,11326000000.0,275746000000.0,62399000000.0,84297000000.0,LongTermDebt+ShortTermBorrowings,14594180000.0,dei:EntityCommonStockSharesOutstanding,2026-07-17,-1.562083247732049,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.3607639476692209,1.4875108162676667,0.14242398286937896,0.2986502820306205,,,DepreciationDepletionAndAmortization,OperatingIncomeLoss,1.138012875203599,1.09352336825141,-0.04979006968762985,1.56842162380657,0.0,0.4865291555900202,1.8786007276491064,0.13037705630540786,0.7127148043622084,9.0,ROA+ OCF+ dROA+ AKRUAL+ LEVERAGE+ CR+ SAHAM+ MARGIN+ ATO+,Apple Inc.,,,
AAT,,1500217.0,TTM-4Q,2026-03-31,2026-05-01,10-Q,438189000.0,455767000.0,266233000.0,99792000.0,228921000.0,24002000.0,102303000.0,,168839000.0,189197000.0,76244000.0,105341000.0,0.0,0.0,2900567000.0,2967788000.0,,,1136575000.0,1198380000.0,118340000.0,0.0,0.0,-346589000.0,1827850000.0,118340000.0,75000000.0,komponen:NotesPayable,61390936.0,dei:EntityCommonStockSharesOutstanding,2026-05-01,0.20904774664403103,Revenues,ProfitLoss,NetCashProvidedByUsedInOperatingActivities,0.008180145884153224,0.020558854453297814,-0.038567952484493184,-0.7653832243433721,,,DepreciationDepletionAndAmortization,OperatingIncomeLoss,7.034372135655362,1.849378806095618,-0.04936204438893012,0.4003343520605574,0.0,0.6075757264559357,1.4192500594870814,-0.1893229542069098,0.06638578875548035,3.0,ROA+ OCF+ dROA- AKRUAL+ LEVERAGE- CR? SAHAM- MARGIN- ATO-,"AMERICAN ASSETS TRUST, INC.",,,
ABBV,,1551152.0,TTM-4Q,2026-06-30,2026-08-03,10-Q,64386000000.0,58328000000.0,46021000000.0,16870000000.0,24779000000.0,6310000000.0,3763000000.0,2916000000.0,19507000000.0,19283000000.0,1297000000.0,11978000000.0,1505000000.0,0.0,135115000000.0,137182000000.0,33669000000.0,41642000000.0,-5935000000.0,-183000000.0,6569000000.0,35519000000.0,49139000000.0,-17333000000.0,141003000000.0,6569000000.0,70822000000.0,LongTermDebtAndCapitalLeaseObligations+LongTermDebtCurrent+ShortTermBorrowings,1767117285.0,dei:EntityCommonStockSharesOutstanding,2026-07-27,0.0,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.04634645258669761,,0.10386092442737627,0.6768535742758437,,,Depreciation+AmortizationOfIntangibleAssets,OperatingIncomeLoss,3.0914421553090334,5.124368854637257,-0.09693092468885078,2.3346879167158847,,0.714767185412978,,2.593042495661649,0.1810897650535076,8.0,ROA+ OCF+ dROA+ AKRUAL+ LEVERAGE- CR+ SAHAM+ MARGIN+ ATO+,AbbVie Inc.,,,
ABCB,,351569.0,TTM-4Q,2026-06-30,2026-08-07,10-Q,,,,484910000.0,509273000.0,376323000.0,391357000.0,,548528000.0,410899000.0,26552000.0,54817000.0,152511000.0,0.0,28488843000.0,26680153000.0,,,4090577000.0,3917678000.0,1197113000.0,1015646000.0,0.0,2345292000.0,24398266000.0,1197113000.0,,utang tidak terbaca (bunga material),67107239.0,dei:EntityCommonStockSharesOutstanding,2026-08-03,-2.466163396472476,,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.013642553872105992,0.0939837704968186,,-0.03841505326338868,,,DepreciationAmortizationAndAccretionNet,LabaSebelumPajak+BebanBunga,,,,0.2071751036535868,0.24828917778592116,,,,,,,AMERIS BANCORP,,,
