Ticker,Nama,Sektor,Industri,Indeks,Harga,MCap_MiliarUSD,Tanggal_Data,Bar,Basis,Periode_Lapkeu,Nilai20H_JutaUSD,VolSpike,LolosLikuiditas,EV_EBITDA,PE_TTM,PB,EBITDA_EV,E_P,FCF_Yield,Z_Value,ROIC,ROE,GrossMargin,GM_Stabilitas5T,NetDebt_EBITDA,Akrual,ROA_Variabilitas5T,OCF_Laba,F_Score,Z_Altman,Cakupan_Bunga,Z_Quality,Ret12_1,Ret6_1,Mom_RiskAdj,Z_Momentum,RS_Rating,Vol1T,Beta,MaxDD1T,Z_LowVol,DivYield,Buyback_Yield,Shareholder_Yield,Rev_YoY,Laba_YoY,Dilusi_YoY,MA50,MA150,MA200,MA200_Naik,High52,Low52,ATR14,RSI14,RS_vs_SPX,RS_HighBaru,TrendTemplate,Flag,Keyakinan
ENVA,"Enova International, Inc.",Financials,Consumer Finance,SP600,223.48,5.56,2026-09-11,499.0,TTM-4Q,2026-06-30,63.9,0.79,True,,15.7,3.72,,6.4,,-0.46,,26.1,,,,,2.3,,,,2.3,0.27,125.9,92.3,2.72,3.0,93.0,40.2,1.32,-24.7,-0.92,0.0,2.39,2.39,17.7,38.7,-1.4,240.82,187.92,179.52,True,267.45,103.02,7.5,38.9,13.8,False,False,,90.0
NUE,Nucor,Materials,Steel,SP500,259.43,58.86,2026-09-11,499.0,TTM-4Q,2026-07-04,354.2,0.6,True,11.0,20.4,2.66,9.1,4.9,2.7,0.05,11.5,13.6,15.5,,0.76,-4.3,10.2,1.53,8.0,5.45,29.3,-0.06,94.1,65.0,2.52,3.0,91.0,31.6,1.25,-18.4,0.39,0.87,1.15,2.02,17.2,122.5,-1.0,250.94,221.52,208.18,True,280.11,131.32,8.12,53.6,-4.0,False,True,,100.0
BJRI,"BJ's Restaurants, Inc.",Consumer Discretionary,Restaurants,SP600,60.78,1.29,2026-09-11,499.0,TTM-4Q,2026-06-30,28.1,0.75,True,10.8,31.6,3.25,9.3,3.2,3.6,-0.37,8.8,10.4,74.5,0.7,0.24,-7.6,1.7,2.87,8.0,3.18,999.0,0.93,123.0,106.6,2.64,3.0,94.0,43.5,1.14,-26.5,0.08,0.0,3.57,3.57,3.5,48.8,-4.7,64.94,49.47,47.39,True,74.6,28.46,2.44,42.7,13.2,False,False,,100.0
STT,State Street Corporation,Financials,Asset Management & Custody Banks,SP500,193.4,53.13,2026-09-11,499.0,TTM-4Q,2026-06-30,252.3,1.26,True,,15.4,1.88,,6.5,,-0.2,,12.4,,,,,0.1,,,,999.0,-0.22,76.0,56.1,2.66,3.0,92.0,24.8,1.05,-11.8,0.44,2.17,3.01,5.19,12.3,21.3,-3.2,186.28,158.07,150.55,True,195.93,104.64,3.92,58.0,13.2,True,True,,90.0
CAKE,"The Cheesecake Factory, Inc.",Consumer Discretionary,Restaurants,SP600,102.7,5.11,2026-09-11,499.0,TTM-4Q,2026-06-30,168.6,0.78,True,17.3,28.6,9.85,5.8,3.5,4.0,-0.66,17.6,38.8,,0.3,1.16,-5.5,1.4,1.98,6.0,3.02,999.0,0.29,103.6,108.8,2.8,3.0,97.0,38.0,1.0,-26.0,0.42,1.08,0.82,1.9,5.7,12.4,0.8,99.02,75.21,69.82,True,118.46,43.07,3.7,45.0,32.2,False,True,,100.0
ARMK,Aramark,Consumer Discretionary,Distributors,SP400,58.55,15.44,2026-09-11,499.0,TTM-4Q,2026-07-03,130.8,1.29,True,15.2,40.3,4.55,6.6,2.5,2.8,-0.67,6.8,11.8,,7.1,4.05,-3.9,1.6,2.38,6.0,2.64,999.0,-0.91,59.5,51.3,2.14,2.98,88.0,25.8,0.66,-10.1,1.68,0.79,0.31,1.1,11.0,5.9,1.2,57.79,49.99,47.0,True,62.65,35.07,1.22,53.8,3.6,False,True,GOODWILL,100.0
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",SP500,567.29,363.07,2026-09-11,499.0,TTM-4Q,2026-07-31,4319.6,1.69,True,22.3,31.9,,4.5,3.1,2.4,-0.23,39.8,,19.8,1.2,1.32,-0.7,1.4,1.07,8.0,3.33,8.9,-0.03,294.3,224.7,3.63,2.96,99.0,71.5,1.9,-32.3,-0.38,0.43,2.35,2.78,49.0,135.2,-5.0,448.9,307.23,261.76,True,567.75,110.22,33.35,66.6,39.9,True,True,GOODWILL,100.0
VSTS,Vestis,Industrials,Diversified Support Services,SP600,12.97,1.71,2026-09-11,499.0,TTM-4Q,2026-07-03,16.3,0.97,True,11.6,,1.95,8.6,-0.3,8.0,0.37,3.9,-0.6,,,4.36,-6.9,3.4,,7.0,1.76,999.0,-0.8,247.9,88.0,3.01,2.88,97.0,55.9,1.04,-26.5,-0.3,0.0,0.0,0.0,-0.4,,1.9,14.01,11.28,10.15,True,16.9,4.02,0.54,46.2,-5.9,False,False,ZONA-BAHAYA;GOODWILL,100.0
CHEF,"Chefs' Warehouse, Inc.",Consumer Staples,Food Distributors,SP600,110.45,4.5,2026-09-11,499.0,TTM-4Q,2026-03-27,85.2,0.52,True,24.2,56.7,7.4,4.1,1.8,1.8,-1.04,8.3,13.8,24.3,0.7,2.97,-2.0,1.4,1.48,8.0,4.81,3.7,-0.65,72.4,73.6,1.92,2.77,94.0,38.1,0.84,-20.5,-0.39,0.0,0.56,0.56,10.0,24.4,-0.0,105.83,83.89,78.52,True,117.65,53.2,3.85,51.5,18.8,False,True,,100.0
AAMI,Acadian Asset Management Inc.,Financials,Asset Management & Custody Banks,SP600,91.02,3.23,2026-09-11,499.0,TTM-4Q,2026-06-30,33.0,0.74,True,,31.9,,,3.1,,,,,,,,,26.5,,,,8.5,-2.24,98.6,83.9,2.43,2.76,96.0,37.5,1.39,-16.1,-0.57,0.0,0.0,0.0,24.2,13.2,-0.6,87.61,71.43,66.0,True,98.52,41.47,2.9,50.1,13.1,False,True,,84.0
VSXY,Victoria's Secret,Consumer Discretionary,Apparel Retail,SP600,75.65,6.03,2026-09-11,499.0,TTM-4Q,2026-08-01,159.0,0.84,True,8.5,16.0,6.1,11.7,6.3,9.2,0.21,22.6,45.3,39.6,1.8,0.6,-7.7,4.7,2.01,8.0,2.87,8.4,0.55,262.5,106.8,2.61,2.74,95.0,70.6,1.91,-35.6,-1.88,0.0,0.0,0.0,10.3,150.3,2.4,84.96,66.77,63.7,True,102.46,25.09,4.41,39.0,-7.3,False,False,,100.0
ATI,ATI Inc.,Industrials,Aerospace & Defense,SP400,198.77,27.07,2026-09-11,499.0,TTM-4Q,2026-06-28,384.8,0.66,True,31.9,56.9,14.42,3.1,1.8,1.9,-1.05,14.8,26.3,23.4,1.3,1.58,-6.1,2.0,1.69,7.0,6.15,999.0,0.13,201.6,57.7,3.16,2.71,95.0,41.0,1.81,-18.6,-0.44,0.0,1.02,1.02,4.6,14.0,-3.4,202.96,175.93,160.62,True,243.57,75.02,7.93,41.6,-3.8,False,False,,100.0
VCTR,"Victory Capital Holdings, Inc.",Financials,Asset Management & Custody Banks,SP600,110.3,6.78,2026-09-11,499.0,TTM-4Q,2026-06-30,71.2,0.98,True,,14.7,2.86,,6.8,,-1.02,,19.0,,,,,1.5,,,,10.9,0.95,73.0,75.8,2.35,2.71,94.0,31.6,1.21,-18.1,-0.22,2.45,5.68,8.12,51.5,64.8,-7.6,105.89,86.56,81.33,True,123.55,57.03,3.64,47.0,23.2,False,True,,90.0
MTRN,Materion Corp.,Materials,Diversified Metals & Mining,SP600,257.51,5.36,2026-09-11,499.0,TTM-4Q,2026-07-03,66.2,1.0,True,29.3,59.5,5.39,3.4,1.7,,-0.91,8.3,9.5,16.0,1.2,2.22,-1.0,2.0,1.2,6.0,6.11,4.1,-0.59,156.7,104.8,2.26,2.7,96.0,57.9,1.5,-36.3,-1.14,0.22,0.0,0.22,21.6,453.5,1.2,248.87,208.09,189.17,True,304.58,109.61,12.47,55.3,1.0,False,True,,100.0
MXL,"MaxLinear, Inc.",Information Technology,Semiconductors,SP600,74.57,6.76,2026-09-11,499.0,TTM-4Q,2026-06-30,156.6,1.16,True,,,13.95,-0.5,-1.5,0.0,-1.02,-10.0,-21.3,57.5,1.3,,-14.3,13.2,,6.0,11.66,-8.2,-0.46,371.0,350.5,3.23,2.68,99.0,111.5,2.49,-55.3,-2.44,0.0,-0.08,-0.08,50.5,,12.4,73.41,58.8,48.59,True,128.3,12.77,5.79,56.4,-11.2,False,False,DILUSI,100.0
IRDM,Iridium Communications,Communication Services,Alternative Carriers,SP600,47.3,5.01,2026-09-11,499.0,TTM-4Q,2026-06-30,37.7,0.75,True,15.5,53.7,10.61,6.4,1.9,5.8,-0.29,7.1,19.7,,1.7,3.7,-11.8,2.0,4.24,6.0,1.95,999.0,0.22,183.7,102.2,2.37,2.63,98.0,60.3,1.08,-20.9,-0.16,1.91,1.01,2.91,3.1,-17.6,0.3,48.21,40.12,34.7,True,57.18,15.65,1.16,47.4,-8.5,False,False,,90.0
MU,Micron Technology,Information Technology,Semiconductors,SP500;NDX,975.26,1101.45,2026-09-11,499.0,TTM-4Q,2026-05-28,25145.7,0.81,True,15.8,21.8,10.94,6.3,4.6,2.4,0.07,59.7,66.6,72.6,19.7,-0.3,-0.9,8.4,1.02,8.0,23.34,257.6,1.02,552.0,124.9,4.2,2.57,99.0,80.5,2.48,-39.1,-1.23,0.05,0.06,0.11,167.0,710.7,1.8,928.61,725.97,622.07,True,1255.0,147.61,51.84,53.0,-5.5,False,True,,100.0
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,SP500,162.66,110.37,2026-09-11,499.0,TTM-4Q,2026-06-30,417.9,0.88,True,,17.5,2.47,,5.7,,-0.54,,14.2,,,,,0.2,,,,999.0,-0.15,59.5,40.2,2.35,2.53,87.0,21.2,0.91,-10.1,0.79,1.4,3.59,4.99,,26.5,-3.9,158.83,139.51,134.02,True,165.84,103.11,2.79,55.1,10.5,False,True,,90.0
SPHR,Sphere Entertainment,Communication Services,Movies & Entertainment,SP600,143.5,5.19,2026-09-11,499.0,TTM-4Q,2026-06-30,91.9,0.68,True,29.0,,2.33,3.4,-1.4,,-0.5,-4.1,-3.1,,,0.54,-11.4,5.2,,8.0,1.9,-999.0,0.03,220.5,59.3,2.75,2.52,93.0,50.8,1.58,-24.4,-0.34,0.0,0.0,0.0,23.4,,-19.4,149.86,136.11,124.87,True,181.63,54.53,6.57,44.6,-8.1,False,False,,100.0
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",SP500,62.09,82.42,2026-09-11,499.0,TTM-4Q,2026-07-31,1283.1,1.71,True,15.8,29.5,3.11,6.3,3.4,5.0,0.38,5.6,11.0,,8.6,2.3,-4.9,2.1,2.4,7.0,1.5,999.0,-0.95,145.6,175.0,2.93,2.45,98.0,54.7,1.54,-26.4,0.44,0.9,0.66,1.56,26.6,123.6,2.0,51.11,37.73,34.01,True,64.25,19.84,3.51,64.1,28.1,True,True,ZONA-BAHAYA,100.0
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,SP500,155.83,70.79,2026-09-11,499.0,TTM-4Q,2026-08-01,737.7,0.57,True,9.0,16.1,3.97,11.1,6.2,6.3,0.39,14.4,26.4,29.3,0.4,1.11,-7.3,2.8,1.99,6.0,3.31,14.0,0.57,76.5,35.3,1.83,2.43,91.0,30.5,0.47,-13.3,0.46,2.92,0.22,3.14,2.0,11.8,0.2,148.97,131.8,123.93,True,170.75,83.44,4.28,47.9,13.4,False,True,,100.0
AWR,American States Water Company,Utilities,Water Utilities,SP600,86.48,3.43,2026-09-11,499.0,TTM-4Q,2026-06-30,17.1,1.04,True,15.2,23.9,3.06,6.6,4.2,0.6,-0.35,9.4,13.7,90.1,0.9,2.56,-3.5,0.6,1.65,6.0,,4.7,1.52,22.7,18.9,1.02,2.42,70.0,20.5,-0.11,-8.4,0.73,2.29,-2.37,-0.08,13.2,14.7,2.2,87.23,79.93,78.27,True,91.72,69.45,1.67,42.5,8.6,False,False,,100.0
MOG-A,Moog Inc.,Industrials,Aerospace & Defense,SP400,367.02,11.77,2026-09-11,499.0,TTM-4Q,2026-06-27,87.8,1.24,True,18.3,31.2,5.3,5.5,3.2,3.0,-0.44,16.2,18.2,28.2,0.4,1.22,-2.4,0.4,1.29,7.0,5.33,8.6,0.19,118.5,40.1,2.29,2.39,84.0,34.6,0.98,-18.8,0.57,0.32,0.66,0.98,15.7,76.9,0.6,398.29,355.25,332.07,True,448.85,192.33,13.11,38.3,-12.6,False,False,,100.0
STLD,Steel Dynamics,Materials,Steel,SP500,239.79,34.37,2026-09-11,499.0,TTM-4Q,2026-06-30,279.3,0.59,True,14.2,21.4,3.65,7.0,4.7,2.8,-0.25,12.6,17.6,14.7,6.2,1.36,0.2,9.2,0.98,7.0,5.96,18.2,-0.42,100.7,51.1,2.09,2.39,82.0,36.3,1.28,-22.4,0.11,0.86,2.23,3.09,19.8,54.4,-2.9,242.5,224.78,211.99,True,288.74,129.41,8.24,48.0,-17.2,False,False,,100.0
CXW,CoreCivic,Industrials,Diversified Support Services,SP600,34.93,3.45,2026-09-11,499.0,TTM-4Q,2026-06-30,57.8,1.66,True,12.2,27.0,2.4,8.2,3.7,1.7,0.04,6.9,8.8,,,3.23,-2.2,1.9,1.56,6.0,2.02,3.3,-0.91,65.3,90.5,1.98,2.36,96.0,39.4,1.17,-25.2,0.04,0.0,5.51,5.51,24.3,22.9,-9.0,32.22,24.89,23.42,True,35.3,15.74,1.31,61.4,25.6,False,True,,100.0
INSW,"International Seaways, Inc.",Energy,Oil & Gas Storage & Transportation,SP600,103.65,5.13,2026-09-11,499.0,TTM-4Q,2026-06-30,57.8,1.89,True,5.5,6.6,2.27,18.1,15.2,,1.15,23.8,37.4,,,0.24,5.3,9.8,0.81,7.0,6.0,19.7,0.29,121.8,51.0,2.26,2.35,98.0,38.2,0.65,-16.2,0.36,8.03,0.0,8.03,57.4,226.4,0.8,94.15,82.46,75.08,True,106.73,42.26,3.52,62.0,21.2,False,True,,100.0
LTH,"Life Time Group Holdings, Inc.",Consumer Discretionary,Leisure Facilities,SP600,41.5,9.27,2026-09-11,499.0,TTM-4Q,2026-06-30,109.3,0.94,True,12.2,22.4,2.81,8.2,4.5,-1.6,-0.74,8.8,13.4,48.0,0.4,1.47,-6.1,4.9,2.17,8.0,1.69,999.0,0.13,53.8,70.2,1.69,2.33,91.0,36.7,1.07,-16.3,0.72,0.0,0.0,0.0,12.7,83.0,0.8,43.29,34.53,32.75,True,47.24,24.14,1.26,39.8,14.9,False,False,ZONA-BAHAYA,100.0
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",SP500;NDX,830.17,188.15,2026-09-11,499.0,TTM-4Q,2026-07-03,3097.9,1.06,True,43.5,59.1,86.83,2.3,1.7,1.7,-0.53,68.8,371.5,45.6,9.5,0.43,-5.4,14.2,1.15,8.0,16.46,14.4,1.36,358.7,135.4,3.34,2.32,99.0,74.0,2.24,-31.8,-0.67,0.34,0.09,0.43,34.1,116.7,5.5,848.21,702.67,605.88,True,1145.0,192.99,54.01,47.3,-7.7,False,False,DILUSI,100.0
KALU,Kaiser Aluminum Corporation,Materials,Aluminum,SP600,157.2,2.57,2026-09-11,499.0,TTM-4Q,2026-06-30,35.7,0.7,True,7.7,11.3,2.72,13.1,8.8,3.4,0.68,13.5,26.4,14.5,,2.11,1.5,2.3,0.82,6.0,3.12,6.2,-0.56,156.8,58.0,2.08,2.32,86.0,51.6,1.73,-26.0,-0.84,2.02,0.0,2.02,32.8,209.3,2.7,165.87,157.94,147.7,True,199.89,73.08,7.63,43.3,-19.2,False,False,,100.0
MATX,"Matson, Inc.",Industrials,Marine Transportation,SP600,230.18,6.88,2026-09-11,499.0,TTM-4Q,2026-06-30,51.7,1.06,True,,14.8,2.48,,6.7,,0.73,14.3,17.2,,1.4,,-2.6,9.0,1.26,6.0,3.95,79.5,0.17,110.1,44.2,2.19,2.31,96.0,35.3,0.92,-18.1,0.63,0.65,3.82,4.46,-0.2,-6.1,-6.5,214.26,187.82,173.95,True,232.42,86.97,5.51,65.9,11.7,True,True,,100.0
