Ticker,Nama,Sektor,Industri,Indeks,Harga,MCap_MiliarUSD,Tanggal_Data,Bar,Basis,Periode_Lapkeu,Earnings_Berikut,Hari_Ke_Earnings,Nilai20H_JutaUSD,VolSpike,LolosLikuiditas,EV_EBITDA,PE_TTM,PB,PE_Fwd,EBITDA_EV,E_P,FCF_Yield,Z_Value,ROIC,ROE,GrossMargin,GM_Stabilitas5T,NetDebt_EBITDA,Akrual,ROA_Variabilitas5T,OCF_Laba,F_Score,Z_Altman,Cakupan_Bunga,Z_Quality,Ret12_1,Ret6_1,Mom_RiskAdj,Z_Momentum,RS_Rating,Vol1T,Beta,MaxDD1T,Z_LowVol,Rev_CAGR3,EPS_CAGR3,Target_Rata,Target_Upside,Target_Revisi,Rekom_Rata,Jumlah_Analis,Surprise_Terakhir,Z_Growth,Insider_Net90H_JutaUSD,Insider_Beli90H_JutaUSD,Insider_Jual90H_JutaUSD,Insider_Pembeli90H,Insider_ClusterBuy,Insider_Net_PctMCap,Insider_Terakhir,Institusi_Pct,Institusi_Delta,Short_PctFloat,Short_Ratio,Z_SmartMoney,DivYield,Buyback_Yield,Shareholder_Yield,Rev_YoY,Laba_YoY,Dilusi_YoY,MA50,MA150,MA200,MA200_Naik,High52,Low52,ATR14,RSI14,RS_vs_SPX,RS_HighBaru,TrendTemplate,Flag,Keyakinan
ENR,Energizer,Consumer Staples,Household Products,SP600,21.74,1.49,2026-09-17,501.0,TTM-4Q,2026-06-30,2026-11-17,43.0,19.7,1.14,True,11.5,18.3,7.33,6.4,8.7,5.5,10.1,0.54,5.5,42.2,36.8,1.7,7.77,-3.0,3.5,2.67,5.0,1.33,1.8,-1.31,-19.8,34.8,0.16,0.09,56.0,46.7,0.99,-43.6,-1.56,,,22.33,2.7,,2.67,6.0,-9.2,-0.25,15.67,15.67,0.0,1.0,False,1.053,2026-07-24,103.7,,10.63,6.4,1.8,5.71,2.18,7.89,2.2,-67.6,-4.0,21.26,19.9,20.06,False,30.29,15.75,0.83,55.5,5.8,False,False,ZONA-BAHAYA;GOODWILL,100.0
JEF,Jefferies,Financials,Multi-Sector Holdings,SP400,47.87,9.79,2026-09-17,501.0,TTM-4Q,2026-05-31,,,93.0,1.89,True,,11.3,0.93,10.8,,8.8,,0.84,,8.3,,,,,0.9,,,,999.0,-0.46,-16.5,43.9,0.31,-0.45,15.0,44.1,1.79,-48.0,-2.36,,,60.67,26.7,,2.33,6.0,,-0.01,642.75,642.75,0.0,1.0,False,6.568,2026-07-15,68.7,,4.25,3.8,1.8,3.8,3.81,7.61,13.8,36.3,,54.01,50.67,53.35,False,71.04,35.53,1.91,31.1,-24.8,False,False,,90.0
RSG,Republic Services,Industrials,Environmental & Facilities Services,SP500,218.89,67.03,2026-09-17,501.0,TTM-4Q,2026-06-30,,,347.7,1.29,True,15.5,30.7,5.57,,6.5,3.3,4.0,-0.25,11.2,18.2,49.3,0.7,2.67,-6.9,0.5,2.08,4.0,3.03,5.7,0.7,-2.6,-1.7,-0.11,-0.89,42.0,19.1,0.08,-14.6,2.03,,,,,,,,,-0.46,1380.32,1380.32,0.0,1.0,False,2.059,2026-09-11,,,,,1.8,1.14,2.19,3.33,2.9,3.0,-1.8,218.38,215.52,215.21,True,233.42,196.41,3.78,47.2,2.5,False,False,GOODWILL,100.0
GPI,"Group 1 Automotive, Inc.",Consumer Discretionary,Automotive Retail,SP600,254.54,3.03,2026-09-17,501.0,TTM-4Q,2026-06-30,,,59.0,1.64,True,,10.5,1.03,5.8,,9.6,5.5,0.35,7.8,9.5,15.9,0.9,,-1.5,3.1,1.51,4.0,3.26,999.0,-1.15,-45.2,-18.8,-0.81,-1.59,5.0,39.7,0.59,-45.5,0.11,,,371.08,45.8,,,12.0,,-0.57,72.6,72.6,0.0,1.0,False,2.392,2026-09-10,105.4,,14.62,6.2,1.64,0.84,15.15,16.0,0.8,-39.7,-7.8,286.86,311.9,331.85,False,470.48,249.54,11.99,38.5,-18.9,False,False,,100.0
GME,GameStop,Consumer Discretionary,Computer & Electronics Retail,SP400,22.77,11.49,2026-09-17,501.0,TTM-4Q,2026-08-01,,,151.0,1.19,True,,12.9,1.87,12.2,,7.8,6.0,0.09,4.0,15.8,37.9,4.0,,1.8,7.1,0.79,5.0,2.52,999.0,-1.14,-31.9,-23.2,-0.72,-1.5,36.0,38.1,0.29,-35.5,0.79,,,,,,0.0,,,-0.04,21.55,21.71,0.16,4.0,True,0.188,2026-09-10,32.9,,13.91,7.4,1.2,0.0,0.0,0.0,-7.7,146.7,8.4,20.07,22.1,22.19,False,28.1,17.79,0.67,76.8,2.8,False,False,DILUSI,90.0
ACI,Albertsons,Consumer Staples,Food Retail,SP400,12.56,6.1,2026-09-17,501.0,TTM-4Q,2026-02-28,2026-10-13,18.0,88.4,0.98,True,5.6,28.1,3.32,6.8,17.8,3.6,8.6,1.09,5.4,8.3,27.2,0.5,3.31,-8.0,1.9,10.89,5.0,3.37,1.6,-0.26,-31.0,-27.5,-0.72,-1.6,8.0,40.4,-0.03,-41.7,-0.26,,,14.19,12.9,,2.63,16.0,-22.0,-0.22,2.52,2.52,0.0,3.0,True,0.041,2026-07-31,96.5,,16.61,8.1,1.19,5.29,24.24,29.53,3.5,-77.3,-6.3,12.66,15.15,15.69,False,20.0,10.86,0.41,52.1,-15.3,False,False,,100.0
BSX,Boston Scientific,Health Care,Health Care Equipment,SP500,43.56,63.13,2026-09-17,501.0,TTM-4Q,2026-06-30,2026-10-28,29.0,1030.8,1.52,True,13.5,17.2,2.53,12.7,7.4,5.8,5.7,0.49,11.0,15.5,69.9,0.3,2.17,-2.0,1.6,1.23,7.0,2.94,11.4,0.34,-49.0,-29.2,-0.99,-2.15,3.0,39.4,0.76,-59.4,-0.65,,,62.41,43.3,,1.58,29.0,3.9,-0.18,9.49,9.49,0.0,4.0,True,0.015,2026-08-25,94.8,,3.33,2.5,1.16,0.0,0.0,0.0,13.5,46.9,-1.3,46.87,55.33,64.57,False,105.65,42.2,1.68,38.4,-5.9,False,False,,100.0
MTDR,Matador Resources,Energy,Oil & Gas Exploration & Production,SP400,57.64,7.13,2026-09-17,501.0,TTM-4Q,2026-06-30,,,105.9,0.73,True,4.7,9.9,1.2,6.4,21.1,10.1,,1.16,10.3,12.8,,0.9,1.75,-15.2,6.2,3.6,4.0,1.45,5.4,0.82,23.1,0.9,0.28,-0.7,73.0,43.0,0.36,-29.1,0.03,,,69.1,19.9,,1.43,20.0,,-0.69,1.21,1.21,0.0,3.0,True,0.017,2026-08-27,98.7,,11.72,6.7,1.14,2.5,0.33,2.83,-3.6,-15.2,-0.2,54.52,55.54,52.54,True,66.84,37.14,2.07,49.8,11.1,False,False,ZONA-BAHAYA,100.0
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,SP500,43.62,9.06,2026-09-17,501.0,TTM-4Q,2026-06-30,2026-10-29,30.0,217.2,0.92,True,7.1,41.2,1.03,6.7,14.2,2.4,7.6,0.44,4.1,2.4,19.6,2.5,2.38,-5.4,4.2,6.14,7.0,2.45,3.0,-0.84,-41.5,-30.7,-0.82,-1.66,2.0,44.0,0.82,-51.1,-0.45,,,66.61,52.7,,1.57,18.0,14.1,-0.46,8.25,8.25,0.0,4.0,True,0.091,2026-08-13,107.0,,7.05,1.8,1.14,0.0,7.94,7.94,5.3,-78.3,-2.8,50.87,60.43,65.17,False,88.93,42.99,1.58,36.0,-32.6,False,False,,100.0
PFE,Pfizer,Health Care,Pharmaceuticals,SP500,27.63,157.48,2026-09-17,501.0,TTM-4Q,2026-06-28,,,889.1,0.87,True,15.7,36.4,1.85,9.5,6.4,2.8,7.0,0.48,4.6,5.0,73.2,6.0,4.07,-4.5,6.1,3.09,7.0,2.08,2.6,-0.54,22.0,3.2,0.55,-0.26,61.0,23.1,0.47,-15.7,1.27,,,28.88,4.5,,2.46,26.0,,-0.42,2.88,2.96,0.08,3.0,True,0.002,2026-08-12,69.1,,2.66,3.9,1.13,6.21,0.0,6.21,-0.2,-59.7,-0.1,26.55,26.43,26.26,True,29.21,23.58,0.52,51.7,3.6,False,False,,100.0
