Ticker,Nama,Sektor,Industri,Indeks,Harga,Tanggal_Data,Bar,Nilai20H_JutaUSD,VolSpike,LolosLikuiditas,Ret12_1,Ret6_1,Mom_RiskAdj,Z_Momentum,RS_Rating,Vol1T,Beta,MaxDD1T,Z_LowVol,MA50,MA150,MA200,MA200_Naik,High52,Low52,ATR14,RSI14,RS_vs_SPX,RS_HighBaru,TrendTemplate,Flag
CAKE,"The Cheesecake Factory, Inc.",Consumer Discretionary,Restaurants,SP600,102.7,2026-09-11,501.0,168.6,0.78,True,103.6,108.8,2.8,3.0,97.0,38.0,1.0,-26.0,0.42,99.02,75.21,69.82,True,118.46,43.07,3.7,45.0,32.2,False,True,
NUE,Nucor,Materials,Steel,SP500,259.43,2026-09-11,501.0,354.2,0.6,True,94.1,65.0,2.52,3.0,91.0,31.6,1.25,-18.4,0.39,250.94,221.52,208.18,True,280.11,131.32,8.12,53.6,-4.0,False,True,
STT,State Street Corporation,Financials,Asset Management & Custody Banks,SP500,193.4,2026-09-11,501.0,252.3,1.26,True,76.0,56.1,2.66,3.0,92.0,24.8,1.06,-11.8,0.44,186.28,158.07,150.55,True,195.93,104.64,3.92,58.0,13.2,True,True,
ARMK,Aramark,Consumer Discretionary,Distributors,SP400,58.55,2026-09-11,501.0,130.8,1.29,True,59.5,51.3,2.14,2.98,88.0,25.8,0.66,-10.1,1.69,57.79,49.99,47.0,True,62.65,35.07,1.22,53.8,3.6,False,True,
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",SP500,567.29,2026-09-11,501.0,4319.6,1.69,True,294.3,224.7,3.63,2.96,99.0,71.5,1.89,-32.3,-0.38,448.9,307.23,261.76,True,567.75,110.22,33.35,66.6,39.9,True,True,
CHEF,"Chefs' Warehouse, Inc.",Consumer Staples,Food Distributors,SP600,110.45,2026-09-11,501.0,85.2,0.52,True,72.4,73.6,1.92,2.77,94.0,38.1,0.83,-20.5,-0.38,105.83,83.89,78.52,True,117.65,53.2,3.85,51.5,18.8,False,True,
AAMI,Acadian Asset Management Inc.,Financials,Asset Management & Custody Banks,SP600,91.02,2026-09-11,501.0,33.0,0.74,True,98.6,83.9,2.43,2.76,96.0,37.5,1.4,-16.1,-0.57,87.61,71.43,66.0,True,98.52,41.47,2.9,50.1,13.1,False,True,
VCTR,"Victory Capital Holdings, Inc.",Financials,Asset Management & Custody Banks,SP600,110.3,2026-09-11,501.0,71.2,0.98,True,73.0,75.8,2.35,2.71,94.0,31.6,1.22,-18.1,-0.23,105.89,86.56,81.33,True,123.55,57.03,3.64,47.0,23.2,False,True,
MTRN,Materion Corp.,Materials,Diversified Metals & Mining,SP600,257.51,2026-09-11,501.0,66.2,1.0,True,156.7,104.8,2.26,2.7,96.0,57.9,1.5,-36.3,-1.14,248.87,208.09,189.17,True,304.58,109.61,12.47,55.3,1.0,False,True,
MU,Micron Technology,Information Technology,Semiconductors,SP500;NDX,975.26,2026-09-11,501.0,25145.7,0.81,True,552.0,124.9,4.2,2.57,99.0,80.5,2.47,-39.1,-1.22,928.61,725.97,622.07,True,1255.0,147.61,51.84,53.0,-5.5,False,True,
