Ticker,Nama,Sektor,Industri,Indeks,Harga,MCap_MiliarUSD,Tanggal_Data,Bar,Basis,Periode_Lapkeu,Nilai20H_JutaUSD,VolSpike,LolosLikuiditas,EV_EBITDA,PE_TTM,PB,EBITDA_EV,E_P,FCF_Yield,Z_Value,ROIC,ROE,GrossMargin,GM_Stabilitas5T,NetDebt_EBITDA,Akrual,ROA_Variabilitas5T,OCF_Laba,F_Score,Z_Altman,Cakupan_Bunga,Z_Quality,Ret12_1,Ret6_1,Mom_RiskAdj,Z_Momentum,RS_Rating,Vol1T,Beta,MaxDD1T,Z_LowVol,DivYield,Buyback_Yield,Shareholder_Yield,Rev_YoY,Laba_YoY,Dilusi_YoY,MA50,MA150,MA200,MA200_Naik,High52,Low52,ATR14,RSI14,RS_vs_SPX,RS_HighBaru,TrendTemplate,Flag,Keyakinan
CRI,"Carter's, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",SP600,30.43,1.12,2026-09-11,499.0,TTM-4Q,2026-07-04,47.5,1.74,True,3.1,5.7,1.09,32.3,17.5,26.2,3.0,15.1,20.7,48.6,1.1,-0.26,-5.3,2.4,1.71,7.0,2.74,6.8,0.44,39.7,14.3,0.54,0.41,15.0,50.3,0.93,-30.5,-0.09,3.28,0.0,3.28,5.2,43.6,0.5,37.06,37.35,36.44,True,44.44,27.15,1.41,26.8,-29.4,False,False,,100.0
KSS,Kohl's Corp.,Consumer Discretionary,Broadline Retail,SP600,17.23,1.95,2026-09-11,499.0,TTM-4Q,2026-08-01,87.4,0.79,True,1.9,7.2,0.47,52.5,13.8,52.9,3.0,8.8,6.7,41.2,1.0,0.39,-8.1,2.2,5.01,8.0,1.68,999.0,0.21,22.9,47.8,0.51,0.45,42.0,69.8,2.06,-51.8,-2.54,2.87,0.0,2.87,-2.9,29.8,3.5,18.21,16.14,17.3,True,25.22,11.38,0.99,43.1,-4.0,False,False,ZONA-BAHAYA,100.0
AMN,"Amn Healthcare Services, Inc.",Health Care,Health Care Services,SP600,33.34,1.29,2026-09-11,499.0,TTM-4Q,2026-06-30,18.0,0.9,True,4.9,12.3,1.74,20.4,8.1,34.0,3.0,8.6,15.6,27.8,1.8,1.12,-16.0,8.3,4.49,7.0,3.02,5.6,0.04,65.6,67.4,1.02,0.5,94.0,65.0,0.78,-28.7,-0.48,0.0,0.0,0.0,24.0,,3.4,33.86,26.92,24.55,True,37.22,14.97,1.51,46.9,4.5,False,False,GOODWILL,90.0
EIX,Edison International,Utilities,Electric Utilities,SP500,56.0,21.55,2026-09-11,499.0,TTM-4Q,2026-03-31,412.0,0.62,True,6.7,6.1,1.24,14.9,16.5,-3.0,3.0,8.2,20.9,,,4.42,-2.7,1.5,1.69,6.0,,3.4,0.8,31.8,0.2,0.41,0.4,15.0,38.6,0.24,-32.8,-1.36,6.0,0.13,6.14,13.1,30.1,0.3,71.16,71.31,68.47,True,81.62,52.0,3.34,33.7,-25.3,False,False,,100.0
TDC,Teradata,Information Technology,IT Consulting & Other Services,SP600,27.84,2.59,2026-09-11,499.0,TTM-4Q,2026-06-30,54.4,0.89,True,9.8,5.7,4.37,10.2,17.7,28.4,3.0,15.9,119.1,60.8,0.8,-1.86,-17.8,2.3,1.66,7.0,1.31,5.1,0.77,27.1,-0.1,0.21,-0.76,30.0,64.2,0.72,-35.2,0.56,0.0,5.48,5.48,1.0,316.4,0.2,29.61,29.79,29.84,True,41.78,20.33,1.06,46.3,-18.1,False,False,ZONA-BAHAYA,100.0
DLX,Deluxe Corporation,Industrials,Commercial Printing,SP600,23.62,1.08,2026-09-11,499.0,TTM-4Q,2026-06-30,10.9,0.78,True,6.1,10.8,1.53,16.4,9.3,19.3,3.0,8.4,14.9,52.5,2.4,3.35,-7.9,0.7,3.01,7.0,1.82,2.2,0.5,29.2,-9.7,0.24,-0.59,52.0,39.7,1.02,-29.4,0.06,5.2,0.0,5.2,0.3,73.6,2.7,24.76,25.88,25.18,True,32.07,17.76,0.7,45.5,-1.5,False,False,GOODWILL,100.0
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,SP600,11.39,1.82,2026-09-11,499.0,TTM-4Q,2026-06-30,25.0,0.76,True,1.7,14.7,0.6,60.5,6.8,68.8,3.0,8.2,4.0,,4.5,0.76,-10.3,2.3,11.94,6.0,1.18,4.2,-0.27,-24.9,-10.6,-0.31,-1.22,36.0,57.2,1.03,-46.7,0.11,0.0,14.95,14.95,-2.4,-67.3,-10.1,10.54,10.97,11.88,False,15.68,7.9,0.48,56.8,24.7,False,False,ZONA-BAHAYA,100.0
SKYW,"SkyWest, Inc.",Industrials,Passenger Airlines,SP600,96.14,3.73,2026-09-11,499.0,TTM-4Q,2026-06-30,26.6,1.41,True,5.7,9.1,1.35,17.6,11.0,23.1,3.0,9.0,15.3,,8.3,1.77,-7.4,2.1,2.31,6.0,1.79,5.9,-0.57,-0.8,19.8,0.26,-0.28,34.0,36.8,1.03,-28.3,0.16,0.0,-0.07,-0.07,9.1,0.5,-4.2,102.11,95.56,97.01,True,117.72,77.89,2.95,42.2,3.4,False,False,ZONA-BAHAYA,100.0
M,Macy's,Consumer Discretionary,Broadline Retail,SP400,22.08,5.77,2026-09-11,499.0,TTM-4Q,2026-08-01,141.7,1.68,True,3.4,7.7,1.17,29.2,13.0,24.5,2.96,12.0,16.0,40.7,0.5,0.56,-6.5,2.7,2.35,9.0,,999.0,0.19,44.9,41.2,1.04,1.25,53.0,41.4,0.95,-28.6,0.26,3.43,3.55,6.99,0.3,51.5,-1.4,23.48,21.42,21.6,True,26.59,16.41,0.92,45.1,-14.9,False,False,,100.0
TRN,"Trinity Industries, Inc.",Industrials,Construction Machinery & Heavy Transportation Equipment,SP600,28.5,2.27,2026-09-11,499.0,TTM-4Q,2026-06-30,14.8,1.33,True,7.0,6.7,1.99,14.4,14.9,15.1,2.82,8.4,31.5,26.2,3.2,4.81,-0.6,0.8,1.14,7.0,,999.0,-1.02,6.6,-0.3,0.09,-0.69,25.0,34.6,0.92,-26.8,0.38,4.35,2.32,6.67,-18.9,251.7,-1.6,32.08,32.85,31.6,True,38.31,24.76,0.84,36.9,-19.6,False,False,,100.0
